59,5.78.198.52,2019-01-22T03:56:28.000Z,POST,/m/updateVariation?__amp_source_origin=https%3A%2F%2Fwww.zanbil.ir,HTTP/1.1,200,171,"\"https://www.zanbil.ir/m/product/33978/64784/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-Galaxy-A9-%282018%29-Dual-128GB-%28SM-A920%29\"","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36\"",Linux; Android,Y
60,207.46.13.115,2019-01-22T03:56:29.000Z,GET,/image/45443/productModel/150x150,HTTP/1.1,200,2891,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
61,207.46.13.115,2019-01-22T03:56:29.000Z,GET,/image/46131/productModel/100x100,HTTP/1.1,200,1981,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
62,5.78.198.52,2019-01-22T03:56:29.000Z,POST,/m/updateVariation?__amp_source_origin=https%3A%2F%2Fwww.zanbil.ir,HTTP/1.1,200,171,"\"https://www.zanbil.ir/m/product/33978/64784/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-Galaxy-A9-%282018%29-Dual-128GB-%28SM-A920%29\"","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36\"",Linux; Android,Y
63,66.111.54.249,2019-01-22T03:56:29.000Z,GET,/static/images/guarantees/goodShopping.png,HTTP/1.1,200,6496,"\"https://www.zanbil.ir/m/filter/b1%2Cp1?page=1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
64,66.111.54.249,2019-01-22T03:56:29.000Z,GET,/static/images/guarantees/warranty.png,HTTP/1.1,200,5807,"\"https://www.zanbil.ir/m/filter/b1%2Cp1?page=1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
65,66.111.54.249,2019-01-22T03:56:29.000Z,GET,/static/images/guarantees/support.png,HTTP/1.1,200,6454,"\"https://www.zanbil.ir/m/filter/b1%2Cp1?page=1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
66,66.111.54.249,2019-01-22T03:56:29.000Z,GET,/static/images/guarantees/bestPrice.png,HTTP/1.1,200,7356,"\"https://www.zanbil.ir/m/filter/b1%2Cp1?page=1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
67,173.249.54.67,2019-01-22T03:56:29.000Z,GET,/image/32757?name=eb-x41-4.jpg&wh=200x200,HTTP/1.1,200,3763,"","Dalvik/2.1.0 (Linux; U; Android 8.0.0; PRA-LA1 Build/HONORPRA-LA1)\"",Linux; U,N
68,5.112.52.254,2019-01-22T03:56:29.000Z,GET,/image/1221?name=rs12w.jpg&wh=200x200,HTTP/1.1,200,2856,"","Dalvik/2.1.0 (Linux; U; Android 8.1.0; SM-J530F Build/M1AJQ)\"",Linux; U,N
69,66.111.54.249,2019-01-22T03:56:29.000Z,GET,/static/css/font/wyekan/font.woff,HTTP/1.1,200,28536,"\"https://www.zanbil.ir/m/filter/b1%2Cp1?page=1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
70,5.112.52.254,2019-01-22T03:56:29.000Z,GET,/image/32837?name=des-3600-1111.jpg&wh=200x200,HTTP/1.1,200,3323,"","Dalvik/2.1.0 (Linux; U; Android 8.1.0; SM-J530F Build/M1AJQ)\"",Linux; U,N
71,207.46.13.115,2019-01-22T03:56:29.000Z,GET,/image/553/article/100x100,HTTP/1.1,200,11229,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
72,66.111.54.249,2019-01-22T03:56:29.000Z,GET,/static/images/guarantees/fastDelivery.png,HTTP/1.1,200,7713,"\"https://www.zanbil.ir/m/filter/b1%2Cp1?page=1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
73,66.249.66.194,2019-01-22T03:56:29.000Z,GET,/product/4057/47/78306,HTTP/1.1,200,41398,"","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)\"",compatible; Googlebot,N
74,173.249.54.67,2019-01-22T03:56:30.000Z,GET,/image/28893?name=1450677370thumb.jpg&wh=200x200,HTTP/1.1,200,3862,"","Dalvik/2.1.0 (Linux; U; Android 8.0.0; PRA-LA1 Build/HONORPRA-LA1)\"",Linux; U,N
75,207.46.13.115,2019-01-22T03:56:30.000Z,GET,/image/6239/productModel/100x100,HTTP/1.1,200,1807,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
76,207.46.13.115,2019-01-22T03:56:30.000Z,GET,/image/6239/productModel/150x150,HTTP/1.1,200,2737,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
77,5.78.198.52,2019-01-22T03:56:30.000Z,POST,/m/updateVariation?__amp_source_origin=https%3A%2F%2Fwww.zanbil.ir,HTTP/1.1,200,394,"\"https://www.zanbil.ir/m/product/33978/64784/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-Galaxy-A9-%282018%29-Dual-128GB-%28SM-A920%29\"","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36\"",Linux; Android,Y
78,173.249.54.67,2019-01-22T03:56:30.000Z,GET,/image/32745?name=ms506-14.jpg&wh=200x200,HTTP/1.1,200,3901,"","Dalvik/2.1.0 (Linux; U; Android 8.0.0; PRA-LA1 Build/HONORPRA-LA1)\"",Linux; U,N
79,66.249.66.91,2019-01-22T03:56:30.000Z,GET,/filter/b481%2Cb43%2Cb874%2Cb32%2Cb67%2Cb36%2Cb226%2Cb41%2Cb136%2Cb570%2Cb180%2Cb615%2Cb168%2Cb648%2Cb103%2Cb148%2Cb80%2Cb597%2Cb724%2Cb613%2Cb5%2Cb135%2Cb877%2Cb194%2Cb1%2Cb256%2Cb854%2Cb198%2Cb656%2Cb679%2Cb3%2Cb202%2Cb20%2Cb542%2Cb723%2Cb482%2Cb212%2Cb2%2Cb546%2Cb218%2Cb441%2Cb523%2Cb484%2Cb261%2Cb219%2Cb113?page=195,HTTP/1.1,200,39665,"","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)\"",compatible; Googlebot,N
80,207.46.13.115,2019-01-22T03:56:31.000Z,GET,/image/6246/productModel/150x150,HTTP/1.1,200,2817,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
81,5.211.97.39,2019-01-22T03:56:31.000Z,HEAD,/amp_preconnect_polyfill_404_or_other_error_expected._Do_not_worry_about_it?1548117000000,HTTP/1.1,404,0,"\"https://www.zanbil.ir/m/browse/cooking-tools/%D9%BE%D8%AE%D8%AA-%D9%88-%D9%BE%D8%B2\"","Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1\"",iPhone; CPU,Y
82,66.249.66.91,2019-01-22T03:56:31.000Z,GET,/filter/b481%2Cb874%2Cb226%2Cb570%2Cb598%2Cstexists%2Cb880%2Cb270%2Cb883%2Cb99%2Cb261%2Cb249%2Cb20%2Cb701%2Cb723%2Cb198%2Cb35%2Cb548%2Cb183%2Cb103%2Cb1%2Cb126%2Cb523%2Cb192%2Cb890%2Cb236%2Cb256%2Cb74%2Cb209%2Cb651%2Cb41%2Cb202%2Cb647%2Cb613%2Cb238%2Cb6%2Cb36%2Cb50%2Cb3%2Cb216%2Cb218%2Cb95%2Cb882%2Cb186%2Cb32%2Cb194%2Cb188%2Cb795%2Cb67%2Cb231%2Cb573%2Cb542%2Cb596%2Cb215%2Cb619%2Cb125%2Cb258?page=1,HTTP/1.1,200,41329,"","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)\"",compatible; Googlebot,N
83,173.249.54.67,2019-01-22T03:56:31.000Z,GET,/image/32756?name=eb-x05-11.jpg&wh=200x200,HTTP/1.1,200,3130,"","Dalvik/2.1.0 (Linux; U; Android 8.0.0; PRA-LA1 Build/HONORPRA-LA1)\"",Linux; U,N
84,31.56.96.51,2019-01-22T03:56:32.000Z,GET,/static/images/amp/instagram.png,HTTP/1.1,200,7146,"\"https://www.zanbil.ir/m/filter/b113\"","Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36\"",Linux; Android,Y
85,31.56.96.51,2019-01-22T03:56:32.000Z,GET,/static/images/amp/telegram.png,HTTP/1.1,200,4859,"\"https://www.zanbil.ir/m/filter/b113\"","Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36\"",Linux; Android,Y
86,31.56.96.51,2019-01-22T03:56:32.000Z,GET,/static/images/amp/blog.png,HTTP/1.1,200,3863,"\"https://www.zanbil.ir/m/filter/b113\"","Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36\"",Linux; Android,Y
87,207.46.13.115,2019-01-22T03:56:32.000Z,GET,/image/6471/productModel/100x100,HTTP/1.1,200,2007,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
88,5.78.198.52,2019-01-22T03:56:32.000Z,POST,/m/updateVariation?__amp_source_origin=https%3A%2F%2Fwww.zanbil.ir,HTTP/1.1,200,171,"\"https://www.zanbil.ir/m/product/33978/64784/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-Galaxy-A9-%282018%29-Dual-128GB-%28SM-A920%29\"","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36\"",Linux; Android,Y
89,2.179.141.98,2019-01-22T03:56:32.000Z,POST,"/ajaxFilter/p65,b1?page=1",HTTP/1.1,200,5409,"\"https://www.zanbil.ir/filter/p65,b1?page=0\"","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36\"",Windows NT,Y
90,2.179.141.98,2019-01-22T03:56:32.000Z,GET,/static/js/accordion.js?_=1548117035128,HTTP/1.1,200,258,"\"https://www.zanbil.ir/filter/p65,b1?page=0\"","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36\"",Windows NT,Y
91,5.78.198.52,2019-01-22T03:56:33.000Z,POST,/m/updateVariation?__amp_source_origin=https%3A%2F%2Fwww.zanbil.ir,HTTP/1.1,200,171,"\"https://www.zanbil.ir/m/product/33978/64784/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-Galaxy-A9-%282018%29-Dual-128GB-%28SM-A920%29\"","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36\"",Linux; Android,Y
92,91.99.72.15,2019-01-22T03:56:34.000Z,GET,/product/29080?model=58289,HTTP/1.1,200,41308,"","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.92 Safari/537.36\"",X11; Linux,N
93,5.78.198.52,2019-01-22T03:56:34.000Z,POST,/m/updateVariation?__amp_source_origin=https%3A%2F%2Fwww.zanbil.ir,HTTP/1.1,200,394,"\"https://www.zanbil.ir/m/product/33978/64784/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-Galaxy-A9-%282018%29-Dual-128GB-%28SM-A920%29\"","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36\"",Linux; Android,Y
94,54.36.148.87,2019-01-22T03:56:34.000Z,GET,/filter/p65%2Cv1%7C%D9%86%D9%82%D8%B1%D9%87%20%D8%A7%DB%8C.%2C6315%7C%D8%AA%D8%AE%D8%AA%20%28%20Flat%20%29?o=6315,HTTP/1.1,302,0,"","Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)\"",compatible; AhrefsBot,N
95,17.58.102.43,2019-01-22T03:56:35.000Z,GET,/filter/b571%2Cb288%2Cb70%2Cb57%2Cb6%2Cb355%2Cb485%2Cb87%2Cb551%2Cb148,HTTP/1.1,200,37759,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5 (Applebot/0.1; +http://www.apple.com/go/applebot)\"",Macintosh; Intel,N
96,91.99.72.15,2019-01-22T03:56:35.000Z,GET,/product/30472/60169/%D8%B9%D8%B7%D8%B1-%D9%88-%D8%A7%D8%AF%DA%A9%D9%84%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AF%DB%8C%D9%88%D8%B1-%D9%85%D8%AF%D9%84-Poison-Girl,HTTP/1.1,200,42242,"","Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:16.0)Gecko/16.0 Firefox/16.0\"",Windows NT,N
97,66.249.66.194,2019-01-22T03:56:35.000Z,GET,/m/product/17369/48780/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%DA%86%D9%87%D8%A7%D8%B1-%D8%AF%D8%B1%D8%A8-%D9%87%D8%A7%DB%8C%D8%B3%D9%86%D8%B3-%D9%85%D8%AF%D9%84-RQ-56WC4SAB,HTTP/1.1,200,20863,"","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)\"",Linux; Android,N
98,66.249.66.194,2019-01-22T03:56:35.000Z,GET,"/m/filter/b1,b103,b126,b136,b143,b148,b183,b185,b188,b192,b198,b20,b202,b216,b218,b221,b226,b236,b249,b256,b261,b270,b3,b308,b32,b36,b4,b41,b42,b43,b441,b454,b481,b484,b523,b548,b570,b573,b598,b6,b613,b614,b63,b647,b651,b701,b703,b874,b879,b88,b880,b883,b890,b900,b903,b99,stexists",HTTP/1.1,200,27284,"","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)\"",Linux; Android,N
99,2.177.12.140,2019-01-22T03:56:36.000Z,GET,/image/62423/productModel/150x150,HTTP/1.1,200,4911,"\"https://www.zanbil.ir/m/product/33606/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86-%D8%A7%D9%84-%D8%A7%DB%8C-%D8%AF%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-55NU8950-Ultra-HD-4K\"","Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0\"",Android 7,Y
100,91.99.72.15,2019-01-22T03:56:37.000Z,GET,/product/14496/25676/%D8%B3%D8%B1-%D8%B4%D9%88%D8%B1-%D8%A2%D8%B1%DB%8C%D8%A7-%D8%B5%D9%86%D8%B9%D8%AA-%D9%85%D8%AF%D9%84-SN-3270,HTTP/1.1,200,40134,"","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7(KHTML, like Gecko) Chrome/16.0.912.36 Safari/535.7\"",Windows NT,N
101,51.15.15.54,2019-01-22T03:56:38.000Z,GET,/blog/tag/%DA%AF%D8%AC%D8%AA/,HTTP/1.1,200,21391,"","","",N
102,91.99.72.15,2019-01-22T03:56:38.000Z,GET,/product/21891/46412/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D9%85%D8%A7%D8%B3%D8%A7%DA%98%D9%88%D8%B1-rain-sport-%D9%85%D8%AF%D9%84-RK-2106b,HTTP/1.1,200,41561,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.3 Safari/534.53.10\"",Macintosh; Intel,N
103,2.177.12.140,2019-01-22T03:56:38.000Z,GET,/image/62178/productModel/150x150,HTTP/1.1,200,5005,"\"https://www.zanbil.ir/m/product/33606/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86-%D8%A7%D9%84-%D8%A7%DB%8C-%D8%AF%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-55NU8950-Ultra-HD-4K\"","Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0\"",Android 7,Y
104,2.177.12.140,2019-01-22T03:56:38.000Z,GET,/image/64498/productModel/150x150,HTTP/1.1,200,4890,"\"https://www.zanbil.ir/m/product/33606/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86-%D8%A7%D9%84-%D8%A7%DB%8C-%D8%AF%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-55NU8950-Ultra-HD-4K\"","Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0\"",Android 7,Y
105,66.249.66.91,2019-01-22T03:56:38.000Z,GET,/filter/b481%2Cb874%2Cb226%2Cb570%2Cb598%2Cstexists%2Cb880%2Cb270%2Cb883%2Cb99%2Cb261%2Cb249%2Cb20%2Cb701%2Cb723%2Cb198%2Cb35%2Cb548%2Cb183%2Cb103%2Cb1%2Cb126%2Cb523%2Cb192%2Cb890%2Cb236%2Cb256%2Cb74%2Cb209%2Cb651%2Cb41%2Cb202%2Cb647%2Cb613%2Cb238%2Cb6%2Cb36%2Cb3%2Cb216%2Cb218%2Cb95%2Cb882%2Cb186%2Cb32%2Cb194%2Cb188%2Cb795%2Cb67%2Cb231%2Cb573%2Cb542%2Cb596%2Cb215%2Cb619%2Cb125?page=1,HTTP/1.1,200,41218,"","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)\"",compatible; Googlebot,N
106,31.56.96.51,2019-01-22T03:56:38.000Z,GET,/static/images/amp/third-party/footer-mobile.png,HTTP/1.1,200,62894,"\"https://www.zanbil.ir/m/filter/b113\"","Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36\"",Linux; Android,Y
107,54.36.149.17,2019-01-22T03:56:38.000Z,GET,/product/30972/84309,HTTP/1.1,200,41524,"","Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)\"",compatible; AhrefsBot,N
108,66.249.66.91,2019-01-22T03:56:39.000Z,GET,/filter/b656%2Cb703%2Cb67%2Cb226%2Cb41%2Cb598%2Cb168%2Cb723%2Cb597%2Cb88%2Cb548%2Cb6%2Cb679%2Cb215%2Cb105%2Cb194%2Cb74%2Cb542%2Cb35%2Cb113%2Cb820%2Cb574%2Cb442%2Cb880%2Cb645%2Cb724%2Cb118%2Cb482%2Cb400%2Cb95%2Cb135%2Cb249%2Cb435%2Cb221%2Cb523%2Cb854%2Cb126%2Cstexists%2Cb216%2Cb217%2Cb152%2Cb99%2Cb188%2Cb209%2Cb192%2Cb213%2Cb136%2Cb218%2Cb4%2Cb648%2Cb454%2Cb258%2Cb270%2Cb180?page=45,HTTP/1.1,200,41513,"","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)\"",compatible; Googlebot,N
109,5.62.206.249,2019-01-22T03:56:40.000Z,GET,/image/34187?name=m12a-1.jpg&wh=200x200,HTTP/1.1,200,5603,"","Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-J710F Build/MMB29K)\"",Linux; U,N
110,2.179.141.98,2019-01-22T03:56:40.000Z,POST,"/ajaxFilter/p65,b1?page=2",HTTP/1.1,200,5092,"\"https://www.zanbil.ir/filter/p65,b1?page=1\"","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36\"",Windows NT,Y
111,66.249.66.194,2019-01-22T03:56:40.000Z,GET,/product/34024/64843/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D9%BE%D8%A7%DB%8C%DB%8C%D9%86-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-Ultimo-SR-D2LW,HTTP/1.1,200,43526,"","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)\"",compatible; Googlebot,N
112,2.179.141.98,2019-01-22T03:56:40.000Z,GET,/static/js/accordion.js?_=1548117042983,HTTP/1.1,200,258,"\"https://www.zanbil.ir/filter/p65,b1?page=1\"","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36\"",Windows NT,Y
113,207.46.13.136,2019-01-22T03:56:41.000Z,GET,/filter/p5935%2Cb543,HTTP/1.1,200,35701,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
114,66.111.54.249,2019-01-22T03:56:42.000Z,GET,/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1,HTTP/1.1,200,20012,"\"https://www.zanbil.ir/m/filter/b1%2Cp1?page=1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
115,207.46.13.136,2019-01-22T03:56:43.000Z,GET,/product/21766?model=46248,HTTP/1.1,200,40464,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
116,2.177.12.140,2019-01-22T03:56:43.000Z,GET,/image/59567/productModel/150x150,HTTP/1.1,200,6005,"\"https://www.zanbil.ir/m/product/33606/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86-%D8%A7%D9%84-%D8%A7%DB%8C-%D8%AF%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-55NU8950-Ultra-HD-4K\"","Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0\"",Android 7,Y
117,54.36.148.18,2019-01-22T03:56:44.000Z,GET,/blog/tag/%D8%A7%D8%AF%D9%88%DB%8C%D9%87/feed/,HTTP/1.1,200,5265,"","Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)\"",compatible; AhrefsBot,N
118,66.111.54.249,2019-01-22T03:56:44.000Z,GET,/settings/logo,HTTP/1.1,200,4120,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
119,54.36.148.17,2019-01-22T03:56:44.000Z,GET,/filter/p44%2Cv1%7C%D8%A2%D9%84%D8%A8%D8%A7%D9%84%D9%88%DB%8C%DB%8C%2Cv1%7C%D8%AE%D8%A7%DA%A9%D8%B3%D8%AA%D8%B1%DB%8C.,HTTP/1.1,200,33103,"","Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)\"",compatible; AhrefsBot,N
120,2.185.221.79,2019-01-22T03:56:44.000Z,GET,/image/29128?name=704-1.jpg&wh=200x200,HTTP/1.1,200,3212,"","Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-E700H Build/LMY47X)\"",Linux; U,N
121,66.111.54.249,2019-01-22T03:56:45.000Z,GET,/image/61103/productModel/200x200,HTTP/1.1,200,3881,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
