10,207.46.13.136,2019-01-22T03:56:18.000Z,GET,/product/10214,HTTP/1.1,200,39677,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
11,40.77.167.129,2019-01-22T03:56:19.000Z,GET,/image/578/article/100x100,HTTP/1.1,200,9831,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
12,178.253.33.51,2019-01-22T03:56:19.000Z,GET,/m/product/32574/62991/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%A7%D8%B5%D9%84%D8%A7%D8%AD-%D8%B5%D9%88%D8%B1%D8%AA-%D9%BE%D8%B1%D9%86%D8%B3%D9%84%DB%8C-%D9%85%D8%AF%D9%84-PR465AT,HTTP/1.1,200,20406,"\"https://www.zanbil.ir/m/filter/p5767%2Ct156?name=%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%A7%D8%B5%D9%84%D8%A7%D8%AD&productType=electric-shavers\"","Mozilla/5.0 (Linux; Android 5.1; HTC Desire 728 dual sim) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.83 Mobile Safari/537.36\"",Linux; Android,Y
13,40.77.167.129,2019-01-22T03:56:19.000Z,GET,/image/6229/productModel/100x100,HTTP/1.1,200,1796,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
14,91.99.72.15,2019-01-22T03:56:19.000Z,GET,/product/10075/13903/%D9%85%D8%A7%DB%8C%DA%A9%D8%B1%D9%88%D9%81%D8%B1-%D8%B1%D9%88%D9%85%DB%8C%D8%B2%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-CE288,HTTP/1.1,200,41725,"","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.92 Safari/537.36\"",X11; Linux,N
15,40.77.167.129,2019-01-22T03:56:19.000Z,GET,/image/6229/productModel/150x150,HTTP/1.1,200,2739,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
16,207.46.13.136,2019-01-22T03:56:19.000Z,GET,/product/14926,HTTP/1.1,404,33617,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
17,40.77.167.129,2019-01-22T03:56:19.000Z,GET,/image/6248/productModel/150x150,HTTP/1.1,200,2788,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
18,40.77.167.129,2019-01-22T03:56:20.000Z,GET,/image/64815/productModel/150x150,HTTP/1.1,200,3481,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
19,66.249.66.194,2019-01-22T03:56:20.000Z,GET,"/m/filter/b2,p6",HTTP/1.1,200,19451,"","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)\"",Linux; Android,N
20,91.99.72.15,2019-01-22T03:56:20.000Z,GET,/product/32798/63266/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%B3%DB%8C%D9%86%D8%AC%D8%B1-%D9%85%D8%AF%D9%84-pearl-SR7,HTTP/1.1,200,40250,"","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.92 Safari/537.36\"",X11; Linux,N
21,178.253.33.51,2019-01-22T03:56:20.000Z,GET,/settings/logo,HTTP/1.1,200,4120,"\"https://www.zanbil.ir/m/product/32574/62991/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%A7%D8%B5%D9%84%D8%A7%D8%AD-%D8%B5%D9%88%D8%B1%D8%AA-%D9%BE%D8%B1%D9%86%D8%B3%D9%84%DB%8C-%D9%85%D8%AF%D9%84-PR465AT\"","Mozilla/5.0 (Linux; Android 5.1; HTC Desire 728 dual sim) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.83 Mobile Safari/537.36\"",Linux; Android,Y
